0,air,0,sky
1,stone,7368816,stone
2,granite,7368816,rock
3,polished_granite,7368816,rock
4,diorite,7368816,rock
5,polished_diorite,7368816,rock
6,andesite,7368816,rock
7,polished_andesite,7368816,rock
8,grass_block,8368696,grass
9,dirt,9923917,dirt
10,coarse_dirt,9923917,dirt
11,podzol,9923917,dirt
12,cobblestone,7368816,stone
13,oak_planks,9402184,
14,spruce_planks,9402184,
15,birch_planks,9402184,
16,jungle_planks,9402184,
17,acacia_planks,9402184,
18,dark_oak_planks,9402184,
19,oak_sapling,31744,grass
20,spruce_sapling,31744,grass
21,birch_sapling,31744,grass
22,jungle_sapling,31744,grass
23,acacia_sapling,31744,grass
24,dark_oak_sapling,31744,grass
25,bedrock,7368816,rock
26,water,4210943,water
27,lava,16711680,
28,sand,16247203,sand
29,red_sand,16247203,sand
30,gravel,16247203,gravel
31,gold_ore,7368816,rock
32,iron_ore,7368816,rock
33,coal_ore,7368816,rock
34,oak_log,9402184,tree
35,spruce_log,9402184,tree
36,birch_log,9402184,tree
37,jungle_log,9402184,tree
38,acacia_log,9402184,tree
39,dark_oak_log,9402184,tree
40,stripped_spruce_log,9402184,
41,stripped_birch_log,9402184,
42,stripped_jungle_log,9402184,
43,stripped_acacia_log,9402184,
44,stripped_dark_oak_log,9402184,
45,stripped_oak_log,9402184,
46,oak_wood,9402184,
47,spruce_wood,9402184,
48,birch_wood,9402184,
49,jungle_wood,9402184,
50,acacia_wood,9402184,
51,dark_oak_wood,9402184,
52,stripped_oak_wood,9402184,
53,stripped_spruce_wood,9402184,
54,stripped_birch_wood,9402184,
55,stripped_jungle_wood,9402184,
56,stripped_acacia_wood,9402184,
57,stripped_dark_oak_wood,9402184,
58,oak_leaves,31744,tree
59,spruce_leaves,31744,tree
60,birch_leaves,31744,tree
61,jungle_leaves,31744,tree
62,acacia_leaves,31744,tree
63,dark_oak_leaves,31744,tree
64,sponge,15066419,
65,wet_sponge,15066419,
66,glass,0,
67,lapis_ore,7368816,
68,lapis_block,10987431,
69,dispenser,7368816,
70,sandstone,7368816,sand
71,chiseled_sandstone,7368816,sand
72,cut_sandstone,7368816,sand
73,note_block,9402184,
74,white_bed,13092807,
75,orange_bed,13092807,
76,magenta_bed,13092807,
77,light_blue_bed,13092807,
78,yellow_bed,13092807,
79,lime_bed,13092807,
80,pink_bed,13092807,
81,gray_bed,13092807,
82,light_gray_bed,13092807,
83,cyan_bed,13092807,
84,purple_bed,13092807,
85,blue_bed,13092807,
86,brown_bed,13092807,
87,green_bed,13092807,
88,red_bed,13092807,
89,black_bed,13092807,
90,powered_rail,0,
91,detector_rail,0,
92,sticky_piston,7368816,
93,cobweb,13092807,
94,grass,31744,grass
95,fern,31744,grass
96,dead_bush,31744,grass
97,seagrass,4210943,water
98,tall_seagrass,4210943,water
99,piston,7368816,
100,piston_head,7368816,
101,white_wool,13092807,
102,orange_wool,13092807,
103,magenta_wool,13092807,
104,light_blue_wool,13092807,
105,yellow_wool,13092807,
106,lime_wool,13092807,
107,pink_wool,13092807,
108,gray_wool,13092807,
109,light_gray_wool,13092807,
110,cyan_wool,13092807,
111,purple_wool,13092807,
112,blue_wool,13092807,
113,brown_wool,13092807,
114,green_wool,13092807,
115,red_wool,13092807,
116,black_wool,13092807,
117,moving_piston,7368816,
118,dandelion,31744,flower
119,poppy,31744,flower
120,blue_orchid,31744,flower
121,allium,31744,flower
122,azure_bluet,31744,flower
123,red_tulip,31744,flower
124,orange_tulip,31744,flower
125,white_tulip,31744,flower
126,pink_tulip,31744,flower
127,oxeye_daisy,31744,flower
128,cornflower,31744,flower
129,wither_rose,31744,flower
130,lily_of_the_valley,31744,flower
131,brown_mushroom,31744,flower
132,red_mushroom,31744,flower
133,gold_block,10987431,
134,iron_block,10987431,
135,bricks,7368816,
136,tnt,16711680,
137,bookshelf,9402184,
138,mossy_cobblestone,7368816,
139,obsidian,7368816,
140,torch,0,
141,wall_torch,0,
142,fire,0,
143,spawner,7368816,
144,oak_stairs,9402184,
145,chest,9402184,
146,redstone_wire,0,
147,diamond_ore,7368816,
148,diamond_block,10987431,
149,crafting_table,9402184,
150,wheat,31744,
151,farmland,9923917,
152,furnace,7368816,
153,oak_sign,9402184,
154,spruce_sign,9402184,
155,birch_sign,9402184,
156,acacia_sign,9402184,
157,jungle_sign,9402184,
158,dark_oak_sign,9402184,
159,oak_door,9402184,
160,ladder,0,
161,rail,0,
162,cobblestone_stairs,7368816,
163,oak_wall_sign,9402184,
164,spruce_wall_sign,9402184,
165,birch_wall_sign,9402184,
166,acacia_wall_sign,9402184,
167,jungle_wall_sign,9402184,
168,dark_oak_wall_sign,9402184,
169,lever,0,
170,stone_pressure_plate,7368816,
171,iron_door,10987431,
172,oak_pressure_plate,9402184,
173,spruce_pressure_plate,9402184,
174,birch_pressure_plate,9402184,
175,jungle_pressure_plate,9402184,
176,acacia_pressure_plate,9402184,
177,dark_oak_pressure_plate,9402184,
178,redstone_ore,7368816,
179,redstone_torch,0,
180,redstone_wall_torch,0,
181,stone_button,0,
182,snow,16777215,snow
183,ice,10526975,snow
184,snow_block,16777215,snow
185,cactus,31744,flower
186,clay,10791096,dirt
187,sugar_cane,31744,flower
188,jukebox,9402184,
189,oak_fence,9402184,
190,pumpkin,31744,
191,netherrack,7368816,
192,soul_sand,16247203,
193,glowstone,0,
194,nether_portal,0,
195,carved_pumpkin,31744,
